panel,mode,engine,run,x,a,b,viol
hash,write,txn_hlist,2,191,0.0,29.34,0
hash,write,txn_hlist,2,192,0.0,29.48,0
hash,write,rlu_defer,1,1,0.0,1.28,0
hash,write,rlu_defer,1,2,0.0,2.46,0
hash,write,rlu_defer,1,4,0.0,4.76,0
hash,write,rlu_defer,1,8,0.0,9.12,0
hash,write,rlu_defer,1,16,0.0,9.44,0
hash,write,rlu_defer,1,32,0.0,11.36,0
hash,write,rlu_defer,1,64,0.0,14.73,0
hash,write,rlu_defer,1,96,0.0,17.25,0
hash,write,rlu_defer,1,128,0.0,15.94,0
hash,write,rlu_defer,1,160,0.0,16.08,0
hash,write,rlu_defer,1,191,0.0,16.14,0
hash,write,rlu_defer,1,192,0.0,16.16,0
hash,write,rlu_defer,2,1,0.0,1.28,0
hash,write,rlu_defer,2,2,0.0,2.45,0
hash,write,rlu_defer,2,4,0.0,4.76,0
hash,write,rlu_defer,2,8,0.0,9.15,0
hash,write,rlu_defer,2,16,0.0,9.56,0
hash,write,rlu_defer,2,32,0.0,11.30,0
hash,write,rlu_defer,2,64,0.0,14.64,0
hash,write,rlu_defer,2,96,0.0,17.10,0
hash,write,rlu_defer,2,128,0.0,16.57,0
hash,write,rlu_defer,2,160,0.0,15.96,0
hash,write,rlu_defer,2,191,0.0,16.14,0
hash,write,rlu_defer,2,192,0.0,16.17,0
hash,write,rlu_sync,1,1,0.0,1.28,0
hash,write,rlu_sync,1,2,0.0,1.69,0
hash,write,rlu_sync,1,4,0.0,2.73,0
hash,write,rlu_sync,1,8,0.0,4.59,0
hash,write,rlu_sync,1,16,0.0,4.31,0
hash,write,rlu_sync,1,32,0.0,4.45,0
hash,write,rlu_sync,1,64,0.0,5.66,0
hash,write,rlu_sync,1,96,0.0,6.57,0
hash,write,rlu_sync,1,128,0.0,6.30,0
hash,write,rlu_sync,1,160,0.0,6.30,0
hash,write,rlu_sync,1,191,0.0,6.32,0
hash,write,rlu_sync,1,192,0.0,6.33,0
hash,write,rlu_sync,2,1,0.0,1.28,0
hash,write,rlu_sync,2,2,0.0,1.70,0
hash,write,rlu_sync,2,4,0.0,2.74,0
hash,write,rlu_sync,2,8,0.0,4.60,0
hash,write,rlu_sync,2,16,0.0,4.27,0
hash,write,rlu_sync,2,32,0.0,4.42,0
hash,write,rlu_sync,2,64,0.0,5.61,0
hash,write,rlu_sync,2,96,0.0,6.55,0
hash,write,rlu_sync,2,128,0.0,6.33,0
hash,write,rlu_sync,2,160,0.0,6.32,0
hash,write,rlu_sync,2,191,0.0,6.33,0
hash,write,rlu_sync,2,192,0.0,6.35,0
hash,read,txn_hlist,1,1,0.7,0.99,0
hash,read,txn_hlist,1,2,1.4,1.00,0
hash,read,txn_hlist,1,4,2.7,0.99,0
hash,read,txn_hlist,1,8,5.5,0.55,0
hash,read,txn_hlist,1,16,10.9,0.59,0
hash,read,txn_hlist,1,32,21.8,0.57,0
hash,read,txn_hlist,1,64,43.1,0.57,0
hash,read,txn_hlist,1,96,63.7,0.47,0
hash,read,txn_hlist,1,128,85.6,0.47,0
hash,read,txn_hlist,1,160,106.5,0.45,0
hash,read,txn_hlist,1,191,125.3,0.59,0
