pct,engine,run,threads,total_mops,update_mops,read_mops,viol
40,rlu_sync,1,160,10.67,4.27,6.40,0
40,rlu_sync,1,191,10.53,4.21,6.32,0
40,rlu_sync,1,192,10.57,4.23,6.34,0
40,rlu_sync,2,1,1.25,0.50,0.75,0
40,rlu_sync,2,2,2.05,0.82,1.23,0
40,rlu_sync,2,4,3.57,1.43,2.14,0
40,rlu_sync,2,8,6.16,2.46,3.70,0
40,rlu_sync,2,16,6.76,2.70,4.06,0
40,rlu_sync,2,32,8.56,3.42,5.13,0
40,rlu_sync,2,64,11.01,4.41,6.61,0
40,rlu_sync,2,96,12.34,4.94,7.40,0
40,rlu_sync,2,128,11.23,4.49,6.74,0
40,rlu_sync,2,160,10.91,4.37,6.54,0
40,rlu_sync,2,191,10.78,4.31,6.46,0
40,rlu_sync,2,192,10.81,4.33,6.49,0
