arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
bucketlock-w32,lookup,32,8,6,512.921,5.4497,OK
bucketlock-w32,lookup,32,8,7,539.691,5.32848,OK
bucketlock-w32,lookup,64,8,1,863.399,4.68969,OK
bucketlock-w32,lookup,64,8,2,834.881,4.79719,OK
bucketlock-w32,lookup,64,8,3,840.055,4.64875,OK
bucketlock-w32,lookup,64,8,4,841.892,4.68358,OK
bucketlock-w32,lookup,64,8,5,792.31,4.78448,OK
bucketlock-w32,lookup,64,8,6,834.308,4.74473,OK
bucketlock-w32,lookup,64,8,7,848.926,4.77971,OK
bucketlock-w32,lookup,128,8,1,1217.87,2.57956,OK
bucketlock-w32,lookup,128,8,2,1223.2,2.61579,OK
bucketlock-w32,lookup,128,8,3,1164.81,2.49689,OK
bucketlock-w32,lookup,128,8,4,1230.87,2.54205,OK
bucketlock-w32,lookup,128,8,5,1202.62,2.63266,OK
bucketlock-w32,lookup,128,8,6,1252.46,2.54252,OK
bucketlock-w32,lookup,128,8,7,1238.04,2.52132,OK
bucketlock-w32,lookup,184,8,1,1462.15,2.18922,OK
bucketlock-w32,lookup,184,8,2,1517.57,1.98544,OK
bucketlock-w32,lookup,184,8,3,1469.59,1.90264,OK
bucketlock-w32,lookup,184,8,4,1461.42,2.17357,OK
bucketlock-w32,lookup,184,8,5,1471.23,2.04707,OK
bucketlock-w32,lookup,184,8,6,1466.29,2.22506,OK
bucketlock-w32,lookup,184,8,7,1398.91,1.87034,OK
bucketlock-w32,readdir,184,8,1,232.925,1836.8,OK
bucketlock-w32,readdir,184,8,2,218.541,1722.6,OK
bucketlock-w32,readdir,184,8,3,231.871,1830.44,OK
bucketlock-w32,readdir,184,8,4,241.519,1905.54,OK
bucketlock-w32,readdir,184,8,5,227.591,1795.56,OK
bucketlock-w32,readdir,184,8,6,220.428,1737.47,OK
bucketlock-w32,readdir,184,8,7,217.881,1717.53,OK
bucketlock-w32-shrink,lookup,8,8,1,160.716,5.74923,OK
bucketlock-w32-shrink,lookup,8,8,2,157.993,5.793,OK
bucketlock-w32-shrink,lookup,8,8,3,146.491,4.62403,OK
bucketlock-w32-shrink,lookup,8,8,4,141.808,4.67002,OK
bucketlock-w32-shrink,lookup,8,8,5,151.657,4.35614,OK
bucketlock-w32-shrink,lookup,8,8,6,159.373,5.68599,OK
bucketlock-w32-shrink,lookup,8,8,7,142.114,4.60418,OK
bucketlock-w32-shrink,lookup,32,8,1,452.423,3.50488,OK
bucketlock-w32-shrink,lookup,32,8,2,510.315,5.25233,OK
bucketlock-w32-shrink,lookup,32,8,3,514.009,5.24043,OK
bucketlock-w32-shrink,lookup,32,8,4,498.694,5.16217,OK
bucketlock-w32-shrink,lookup,32,8,5,512.542,5.19158,OK
bucketlock-w32-shrink,lookup,32,8,6,492.621,5.25317,OK
bucketlock-w32-shrink,lookup,32,8,7,521.951,4.88372,OK
bucketlock-w32-shrink,lookup,64,8,1,786.513,4.47948,OK
bucketlock-w32-shrink,lookup,64,8,2,834.706,4.67472,OK
bucketlock-w32-shrink,lookup,64,8,3,827.061,4.50814,OK
bucketlock-w32-shrink,lookup,64,8,4,795.797,4.78889,OK
bucketlock-w32-shrink,lookup,64,8,5,782.488,4.63271,OK
bucketlock-w32-shrink,lookup,64,8,6,701.642,3.10757,OK
bucketlock-w32-shrink,lookup,64,8,7,689.585,3.07998,OK
bucketlock-w32-shrink,lookup,128,8,1,1099.53,2.05166,OK
bucketlock-w32-shrink,lookup,128,8,2,1153.55,2.54302,OK
bucketlock-w32-shrink,lookup,128,8,3,1114.58,2.18218,OK
bucketlock-w32-shrink,lookup,128,8,4,1110.48,2.00741,OK
bucketlock-w32-shrink,lookup,128,8,5,1120.89,2.09614,OK
bucketlock-w32-shrink,lookup,128,8,6,1089.53,2.11266,OK
bucketlock-w32-shrink,lookup,128,8,7,1072.13,2.15162,OK
bucketlock-w32-shrink,lookup,184,8,1,1393.35,2.13546,OK
bucketlock-w32-shrink,lookup,184,8,2,1421,2.06732,OK
bucketlock-w32-shrink,lookup,184,8,3,1391.47,2.20251,OK
bucketlock-w32-shrink,lookup,184,8,4,1382.58,2.20751,OK
bucketlock-w32-shrink,lookup,184,8,5,1367.71,2.23895,OK
bucketlock-w32-shrink,lookup,184,8,6,1327.5,2.15324,OK
bucketlock-w32-shrink,lookup,184,8,7,1343.34,2.11055,OK
bucketlock-w32-shrink,readdir,184,8,1,253.668,2008.93,OK
bucketlock-w32-shrink,readdir,184,8,2,246.039,1945.75,OK
bucketlock-w32-shrink,readdir,184,8,3,231.559,1824.75,OK
bucketlock-w32-shrink,readdir,184,8,4,221.841,1748.67,OK
bucketlock-w32-shrink,readdir,184,8,5,275.753,2194.76,OK
bucketlock-w32-shrink,readdir,184,8,6,308.047,2461.22,OK
bucketlock-w32-shrink,readdir,184,8,7,238.501,1884.58,OK
