arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-mark-w32-shrink,lookup,184,8,1,1590.83,1.78237,OK
txn-mark-w32-shrink,lookup,184,8,2,1561.67,1.7828,OK
txn-mark-w32-shrink,lookup,184,8,3,1542.52,1.78694,OK
txn-mark-w32-shrink,lookup,184,8,4,1545.03,1.80073,OK
txn-mark-w32-shrink,lookup,184,8,5,1596.55,1.80043,OK
txn-mark-w32-shrink,lookup,184,8,6,1579.61,1.81616,OK
txn-mark-w32-shrink,lookup,184,8,7,1611.61,1.79196,OK
txn-mark-w32-shrink,readdir,184,8,1,220.784,1761.82,OK
txn-mark-w32-shrink,readdir,184,8,2,225.299,1793.83,OK
txn-mark-w32-shrink,readdir,184,8,3,223.24,1777.74,OK
txn-mark-w32-shrink,readdir,184,8,4,224.449,1787.53,OK
txn-mark-w32-shrink,readdir,184,8,5,224.766,1789.81,OK
txn-mark-w32-shrink,readdir,184,8,6,226.042,1803.1,OK
txn-mark-w32-shrink,readdir,184,8,7,222.109,1772.24,OK
bucketlock,lookup,8,8,1,160.412,6.11229,OK
bucketlock,lookup,8,8,2,161.841,5.92409,OK
bucketlock,lookup,8,8,3,162.426,5.91306,OK
bucketlock,lookup,8,8,4,153.629,4.52832,OK
bucketlock,lookup,8,8,5,146.304,4.6425,OK
bucketlock,lookup,8,8,6,150.773,4.66899,OK
bucketlock,lookup,8,8,7,151.612,4.5912,OK
bucketlock,lookup,32,8,1,495.077,3.42507,OK
bucketlock,lookup,32,8,2,495.879,3.41802,OK
bucketlock,lookup,32,8,3,499.451,3.31214,OK
bucketlock,lookup,32,8,4,486.275,3.43821,OK
bucketlock,lookup,32,8,5,475.753,3.36894,OK
bucketlock,lookup,32,8,6,490.845,3.27185,OK
bucketlock,lookup,32,8,7,476.406,3.43677,OK
bucketlock,lookup,64,8,1,759.385,3.20895,OK
bucketlock,lookup,64,8,2,762.299,3.142,OK
bucketlock,lookup,64,8,3,752.956,3.16886,OK
bucketlock,lookup,64,8,4,736.353,3.28409,OK
bucketlock,lookup,64,8,5,775.758,3.19055,OK
bucketlock,lookup,64,8,6,801.284,3.14667,OK
bucketlock,lookup,64,8,7,844.76,4.99288,OK
bucketlock,lookup,128,8,1,1169.36,2.70064,OK
bucketlock,lookup,128,8,2,1203.74,2.7485,OK
bucketlock,lookup,128,8,3,1155.4,2.76217,OK
bucketlock,lookup,128,8,4,1205.99,2.75615,OK
bucketlock,lookup,128,8,5,1149.17,2.65396,OK
bucketlock,lookup,128,8,6,1143.59,2.79452,OK
bucketlock,lookup,128,8,7,1230.63,2.78252,OK
bucketlock,lookup,184,8,1,1450.98,1.93331,OK
bucketlock,lookup,184,8,2,1541.8,1.89865,OK
bucketlock,lookup,184,8,3,1473.34,1.80751,OK
bucketlock,lookup,184,8,4,1485.88,1.92453,OK
bucketlock,lookup,184,8,5,1361.37,2.29718,OK
bucketlock,lookup,184,8,6,1356.64,2.37964,OK
bucketlock,lookup,184,8,7,1426.91,2.29179,OK
bucketlock,readdir,184,8,1,243.258,1923.13,OK
bucketlock,readdir,184,8,2,239.365,1892.87,OK
bucketlock,readdir,184,8,3,217.003,1709.8,OK
bucketlock,readdir,184,8,4,227.602,1794.61,OK
bucketlock,readdir,184,8,5,219.763,1732.9,OK
bucketlock,readdir,184,8,6,217.634,1716.52,OK
bucketlock,readdir,184,8,7,225.021,1776.13,OK
bucketlock-w32,lookup,8,8,1,148.606,4.55535,OK
bucketlock-w32,lookup,8,8,2,147.832,4.84829,OK
bucketlock-w32,lookup,8,8,3,148.369,4.8275,OK
bucketlock-w32,lookup,8,8,4,144.717,4.89791,OK
bucketlock-w32,lookup,8,8,5,151.456,4.69551,OK
bucketlock-w32,lookup,8,8,6,149.999,4.55593,OK
bucketlock-w32,lookup,8,8,7,160.523,6.05622,OK
bucketlock-w32,lookup,32,8,1,502.996,5.71176,OK
bucketlock-w32,lookup,32,8,2,510.553,5.48583,OK
bucketlock-w32,lookup,32,8,3,515.652,5.62784,OK
bucketlock-w32,lookup,32,8,4,475.593,3.60963,OK
bucketlock-w32,lookup,32,8,5,451.348,3.66833,OK
bucketlock-w32,lookup,32,8,6,465.035,3.64419,OK
bucketlock-w32,lookup,32,8,7,495.201,3.54545,OK
bucketlock-w32,lookup,64,8,1,833.886,4.80659,OK
bucketlock-w32,lookup,64,8,2,855.347,4.92782,OK
bucketlock-w32,lookup,64,8,3,862.912,5.00733,OK
bucketlock-w32,lookup,64,8,4,788.478,5.00374,OK
bucketlock-w32,lookup,64,8,5,743.54,3.14985,OK
bucketlock-w32,lookup,64,8,6,722.685,3.30305,OK
bucketlock-w32,lookup,64,8,7,757.646,3.30015,OK
bucketlock-w32,lookup,128,8,1,1211.51,2.01016,OK
bucketlock-w32,lookup,128,8,2,1185.7,2.02263,OK
bucketlock-w32,lookup,128,8,3,1181.66,2.0081,OK
bucketlock-w32,lookup,128,8,4,1162.81,2.74672,OK
bucketlock-w32,lookup,128,8,5,1212.24,2.79683,OK
bucketlock-w32,lookup,128,8,6,1093.99,2.11161,OK
bucketlock-w32,lookup,128,8,7,1192.66,1.97502,OK
bucketlock-w32,lookup,184,8,1,1406.46,2.2443,OK
bucketlock-w32,lookup,184,8,2,1500.65,2.20593,OK
bucketlock-w32,lookup,184,8,3,1381.55,2.11763,OK
bucketlock-w32,lookup,184,8,4,1480.03,2.29534,OK
bucketlock-w32,lookup,184,8,5,1505.24,2.25075,OK
bucketlock-w32,lookup,184,8,6,1499.72,2.26498,OK
bucketlock-w32,lookup,184,8,7,1485.91,2.27249,OK
bucketlock-w32,readdir,184,8,1,241.222,1907.16,OK
bucketlock-w32,readdir,184,8,2,217.566,1714.87,OK
bucketlock-w32,readdir,184,8,3,218.584,1722.22,OK
bucketlock-w32,readdir,184,8,4,218.9,1725.95,OK
bucketlock-w32,readdir,184,8,5,220.399,1736.41,OK
bucketlock-w32,readdir,184,8,6,221.493,1745.49,OK
bucketlock-w32,readdir,184,8,7,217.633,1713.88,OK
bucketlock-w32-shrink,lookup,8,8,1,144.77,4.71699,OK
bucketlock-w32-shrink,lookup,8,8,2,142.085,4.82558,OK
bucketlock-w32-shrink,lookup,8,8,3,154.615,6.12984,OK
bucketlock-w32-shrink,lookup,8,8,4,141.763,4.76574,OK
bucketlock-w32-shrink,lookup,8,8,5,148.377,4.5463,OK
bucketlock-w32-shrink,lookup,8,8,6,143.741,4.75793,OK
bucketlock-w32-shrink,lookup,8,8,7,146.137,4.73253,OK
bucketlock-w32-shrink,lookup,32,8,1,453.322,3.46906,OK
bucketlock-w32-shrink,lookup,32,8,2,448.585,3.60073,OK
bucketlock-w32-shrink,lookup,32,8,3,448.324,3.4796,OK
bucketlock-w32-shrink,lookup,32,8,4,466.459,3.48501,OK
bucketlock-w32-shrink,lookup,32,8,5,461.707,3.60624,OK
bucketlock-w32-shrink,lookup,32,8,6,496.482,5.67754,OK
bucketlock-w32-shrink,lookup,32,8,7,509.102,5.33871,OK
bucketlock-w32-shrink,lookup,64,8,1,777.06,4.76495,OK
bucketlock-w32-shrink,lookup,64,8,2,705.041,3.09659,OK
bucketlock-w32-shrink,lookup,64,8,3,684.996,3.31258,OK
bucketlock-w32-shrink,lookup,64,8,4,679.216,3.23705,OK
bucketlock-w32-shrink,lookup,64,8,5,748.913,5.03253,OK
bucketlock-w32-shrink,lookup,64,8,6,788.284,4.77337,OK
bucketlock-w32-shrink,lookup,64,8,7,740.856,4.82931,OK
bucketlock-w32-shrink,lookup,128,8,1,1134.03,2.82295,OK
bucketlock-w32-shrink,lookup,128,8,2,1080.1,2.66825,OK
bucketlock-w32-shrink,lookup,128,8,3,1051.27,2.66572,OK
bucketlock-w32-shrink,lookup,128,8,4,1094.15,2.80647,OK
bucketlock-w32-shrink,lookup,128,8,5,1121.72,2.21191,OK
bucketlock-w32-shrink,lookup,128,8,6,1076.28,2.75236,OK
bucketlock-w32-shrink,lookup,128,8,7,1115.36,2.79593,OK
bucketlock-w32-shrink,lookup,184,8,1,1342.56,2.29886,OK
bucketlock-w32-shrink,lookup,184,8,2,1336.55,2.19316,OK
bucketlock-w32-shrink,lookup,184,8,3,1344.11,2.29135,OK
bucketlock-w32-shrink,lookup,184,8,4,1347.66,2.23643,OK
bucketlock-w32-shrink,lookup,184,8,5,1337.23,2.27594,OK
bucketlock-w32-shrink,lookup,184,8,6,1358.96,2.22075,OK
bucketlock-w32-shrink,lookup,184,8,7,1406.73,2.05688,OK
bucketlock-w32-shrink,readdir,184,8,1,222.811,1758.25,OK
bucketlock-w32-shrink,readdir,184,8,2,256.418,2029.06,OK
bucketlock-w32-shrink,readdir,184,8,3,223.403,1762,OK
bucketlock-w32-shrink,readdir,184,8,4,237.436,1875.29,OK
bucketlock-w32-shrink,readdir,184,8,5,222.009,1750.06,OK
bucketlock-w32-shrink,readdir,184,8,6,222.009,1748.5,OK
bucketlock-w32-shrink,readdir,184,8,7,226.992,1791.55,OK
