panel,alloc,engine,run,cores,nreaders,b,keys_per_sl,width,mmoves_s,ns_per_keymove,mqueries_s,hitpct
fixed,glibc,existence,3,32,0,120,3840,3,32.3244,989.963,0,0
fixed,glibc,txn-mp3,1,32,0,120,3840,3,28.718,1114.28,0,0
fixed,glibc,txn-mp3,2,32,0,120,3840,3,28.6726,1116.05,0,0
fixed,glibc,txn-mp3,3,32,0,120,3840,3,28.787,1111.61,0,0
fixed,glibc,txn-mp1,1,32,0,120,3840,1,32.5253,983.848,0,0
fixed,glibc,txn-mp1,2,32,0,120,3840,1,32.8026,975.532,0,0
fixed,glibc,txn-mp1,3,32,0,120,3840,1,32.4946,984.779,0,0
fixed,jemalloc,existence,1,64,0,60,3840,3,61.1562,1046.5,0,0
fixed,jemalloc,existence,2,64,0,60,3840,3,60.7585,1053.35,0,0
fixed,jemalloc,existence,3,64,0,60,3840,3,60.4389,1058.92,0,0
fixed,jemalloc,txn-mp3,1,64,0,60,3840,3,41.7948,1531.29,0,0
fixed,jemalloc,txn-mp3,2,64,0,60,3840,3,41.7908,1531.44,0,0
fixed,jemalloc,txn-mp3,3,64,0,60,3840,3,41.9018,1527.38,0,0
fixed,jemalloc,txn-mp1,1,64,0,60,3840,1,47.0482,1360.31,0,0
fixed,jemalloc,txn-mp1,2,64,0,60,3840,1,47.2884,1353.4,0,0
fixed,jemalloc,txn-mp1,3,64,0,60,3840,1,47.0204,1361.11,0,0
fixed,glibc,existence,1,64,0,60,3840,3,41.8495,1529.29,0,0
fixed,glibc,existence,2,64,0,60,3840,3,44.2993,1444.72,0,0
fixed,glibc,existence,3,64,0,60,3840,3,42.9439,1490.32,0,0
fixed,glibc,txn-mp3,1,64,0,60,3840,3,42.4148,1508.91,0,0
fixed,glibc,txn-mp3,2,64,0,60,3840,3,42.2046,1516.42,0,0
fixed,glibc,txn-mp3,3,64,0,60,3840,3,42.0876,1520.64,0,0
fixed,glibc,txn-mp1,1,64,0,60,3840,1,46.9831,1362.19,0,0
fixed,glibc,txn-mp1,2,64,0,60,3840,1,47.592,1344.76,0,0
fixed,glibc,txn-mp1,3,64,0,60,3840,1,47.6081,1344.31,0,0
fixed,jemalloc,existence,1,96,0,40,3840,3,72.883,1317.18,0,0
fixed,jemalloc,existence,2,96,0,40,3840,3,72.5413,1323.38,0,0
fixed,jemalloc,existence,3,96,0,40,3840,3,72.7225,1320.09,0,0
fixed,jemalloc,txn-mp3,1,96,0,40,3840,3,47.464,2022.59,0,0
fixed,jemalloc,txn-mp3,2,96,0,40,3840,3,47.3333,2028.17,0,0
fixed,jemalloc,txn-mp3,3,96,0,40,3840,3,47.3785,2026.23,0,0
fixed,jemalloc,txn-mp1,1,96,0,40,3840,1,54.5486,1759.9,0,0
fixed,jemalloc,txn-mp1,2,96,0,40,3840,1,54.3008,1767.93,0,0
fixed,jemalloc,txn-mp1,3,96,0,40,3840,1,54.3987,1764.75,0,0
fixed,glibc,existence,1,96,0,40,3840,3,46.0741,2083.6,0,0
fixed,glibc,existence,2,96,0,40,3840,3,39.2278,2447.24,0,0
fixed,glibc,existence,3,96,0,40,3840,3,38.1626,2515.55,0,0
fixed,glibc,txn-mp3,1,96,0,40,3840,3,47.5227,2020.09,0,0
fixed,glibc,txn-mp3,2,96,0,40,3840,3,47.3041,2029.42,0,0
fixed,glibc,txn-mp3,3,96,0,40,3840,3,46.872,2048.13,0,0
fixed,glibc,txn-mp1,1,96,0,40,3840,1,55.5748,1727.4,0,0
fixed,glibc,txn-mp1,2,96,0,40,3840,1,54.479,1762.15,0,0
fixed,glibc,txn-mp1,3,96,0,40,3840,1,53.7666,1785.49,0,0
fixed,jemalloc,existence,1,128,0,30,3840,3,67.0658,1908.57,0,0
fixed,jemalloc,existence,2,128,0,30,3840,3,64.8298,1974.4,0,0
fixed,jemalloc,existence,3,128,0,30,3840,3,65.5558,1952.53,0,0
fixed,jemalloc,txn-mp3,1,128,0,30,3840,3,43.3052,2955.76,0,0
fixed,jemalloc,txn-mp3,2,128,0,30,3840,3,43.2616,2958.74,0,0
fixed,jemalloc,txn-mp3,3,128,0,30,3840,3,43.1096,2969.18,0,0
fixed,jemalloc,txn-mp1,1,128,0,30,3840,1,48.3226,2648.86,0,0
fixed,jemalloc,txn-mp1,2,128,0,30,3840,1,48.1859,2656.38,0,0
fixed,jemalloc,txn-mp1,3,128,0,30,3840,1,48.2153,2654.76,0,0
fixed,glibc,existence,1,128,0,30,3840,3,39.4144,3247.54,0,0
fixed,glibc,existence,2,128,0,30,3840,3,32.7982,3902.65,0,0
fixed,glibc,existence,3,128,0,30,3840,3,36.0559,3550.04,0,0
fixed,glibc,txn-mp3,1,128,0,30,3840,3,43.377,2950.88,0,0
fixed,glibc,txn-mp3,2,128,0,30,3840,3,42.6182,3003.41,0,0
fixed,glibc,txn-mp3,3,128,0,30,3840,3,43.585,2936.79,0,0
fixed,glibc,txn-mp1,1,128,0,30,3840,1,47.9186,2671.19,0,0
fixed,glibc,txn-mp1,2,128,0,30,3840,1,48.1243,2659.78,0,0
fixed,glibc,txn-mp1,3,128,0,30,3840,1,48.7638,2624.9,0,0
fixed,jemalloc,existence,1,192,0,20,3840,3,73.9147,2597.59,0,0
fixed,jemalloc,existence,2,192,0,20,3840,3,73.7086,2604.85,0,0
fixed,jemalloc,existence,3,192,0,20,3840,3,73.9763,2595.43,0,0
fixed,jemalloc,txn-mp3,1,192,0,20,3840,3,41.5382,4622.25,0,0
fixed,jemalloc,txn-mp3,2,192,0,20,3840,3,41.4,4637.68,0,0
fixed,jemalloc,txn-mp3,3,192,0,20,3840,3,41.3978,4637.92,0,0
fixed,jemalloc,txn-mp1,1,192,0,20,3840,1,46.5733,4122.53,0,0
